nodeid,lat,long
0,0.0,0.0
1,30.1305,-77.9722
2,36.2764,-77.7435
3,39.9246,-72.9599
4,40.2026,-73.8913
5,40.4029,-74.192
6,40.539,-74.1662
7,40.5517,-74.164
8,40.5577,-74.1376
9,40.5607,-73.9166
10,40.5608,-73.9105
11,40.5608,-73.9102
12,40.5665,-73.8916
13,40.5713,-74.1114
14,40.5738,-73.8576
15,40.5749,-73.9898
16,40.5749,-73.9737
17,40.5749,-73.8612
18,40.5751,-74.1082
19,40.5757,-73.9634
20,40.576,-74.1686
21,40.5761,-73.8521
22,40.5763,-73.959
23,40.5765,-73.9572
24,40.5767,-73.9574
25,40.5769,-73.967
26,40.5769,-73.9586
27,40.5769,-73.9533
28,40.577,-74.003
29,40.5771,-73.9573
30,40.5774,-73.9574
31,40.5774,-73.9573
32,40.5776,-73.9642
33,40.5778,-73.9669
34,40.578,-73.96
35,40.578,-73.9598
36,40.5782,-73.9582
37,40.5785,-73.8524
38,40.5788,-74.0003
39,40.5788,-73.9764
40,40.5789,-73.846
41,40.5791,-73.9562
42,40.5791,-73.941
43,40.5792,-73.962
44,40.5797,-73.9843
45,40.5797,-73.9641
46,40.58,-74.3202
47,40.5803,-73.9574
48,40.5803,-73.8505
49,40.5807,-73.9508
50,40.5808,-73.7451
51,40.5812,-73.948
52,40.5814,-73.9567
53,40.5818,-73.9551
54,40.5819,-73.9712
55,40.5819,-73.9546
56,40.5821,-73.95
57,40.5828,-73.9567
58,40.5829,-74.1065
59,40.5833,-73.9672
60,40.5836,-73.9699
61,40.5836,-73.9322
62,40.5838,-73.9483
63,40.5838,-73.9478
64,40.5839,-73.9466
65,40.5839,-73.9322
66,40.584,-73.9331
67,40.5844,-73.9666
68,40.5844,-73.9331
69,40.5852,-73.9487
70,40.5854,-73.9439
71,40.5857,-73.9613
72,40.5858,-73.9429
73,40.5861,-73.7484
74,40.5862,-73.8206
75,40.5862,-73.7484
76,40.5863,-73.9502
77,40.5864,-73.9412
78,40.5866,-73.9669
79,40.5868,-74.1626
80,40.5868,-73.6747
81,40.5872,-73.9604
82,40.5873,-73.9533
83,40.5874,-73.9687
84,40.5875,-73.9604
85,40.5877,-73.9552
86,40.5877,-73.951
87,40.5877,-73.6999
88,40.5878,-73.9493
89,40.588,-73.9879
90,40.5884,-73.9434
91,40.5885,-73.9491
92,40.5886,-73.9685
93,40.5887,-73.9677
94,40.589,-73.968
95,40.5891,-73.9494
96,40.5896,-73.9556
97,40.5897,-73.94
98,40.5902,-73.937
99,40.5903,-73.9844
100,40.5903,-73.9548
101,40.5905,-73.964
102,40.5906,-73.9741
103,40.591,-73.976
104,40.591,-73.9657
105,40.5918,-73.9532
106,40.5922,-73.95
107,40.593,-73.9502
108,40.5932,-73.9643
109,40.5932,-73.9444
110,40.5933,-73.9609
111,40.5935,-73.9503
112,40.5937,-73.9564
113,40.5937,-73.9407
114,40.5942,-74.09
115,40.5943,-74.078
116,40.5943,-73.9946
117,40.5944,-73.958
118,40.5947,-73.9507
119,40.5949,-73.9892
120,40.5956,-73.9506
121,40.5958,-73.9352
122,40.596,-74.0011
123,40.5975,-73.9496
124,40.5979,-73.9994
125,40.5985,-73.9525
126,40.5987,-73.9574
127,40.5989,-73.9474
128,40.5994,-74.0035
129,40.5995,-73.9717
130,40.5996,-73.9743
131,40.5997,-73.977
132,40.5999,-73.9614
133,40.6003,-73.9656
134,40.6004,-73.9538
135,40.6005,-74.1264
136,40.6006,-74.1179
137,40.6006,-73.987
138,40.6006,-73.9017
139,40.6008,-73.9803
140,40.6009,-74.1233
141,40.6009,-73.7275
142,40.6012,-73.9946
143,40.6012,-73.9861
144,40.6013,-73.9704
145,40.6013,-73.7285
146,40.6014,-73.7804
147,40.6015,-74.0862
148,40.6015,-74.0054
149,40.6016,-73.7805
150,40.6017,-73.9953
151,40.6019,-73.7394
152,40.6021,-73.9936
153,40.6022,-73.9935
154,40.6023,-73.9682
155,40.6023,-73.9638
156,40.6024,-73.9332
157,40.6026,-73.9519
158,40.6026,-73.951
159,40.6027,-73.993
160,40.6029,-73.9651
161,40.603,-74.0036
162,40.603,-73.9533
163,40.6031,-73.991
164,40.6031,-73.9752
165,40.6032,-73.9606
166,40.6033,-74.088
167,40.6033,-73.9925
168,40.6035,-73.9886
169,40.6035,-73.9522
170,40.6035,-73.7408
171,40.6037,-74.072
172,40.6039,-73.9709
173,40.6039,-73.9465
174,40.604,-73.9474
175,40.6042,-74.2282
176,40.6042,-73.7638
177,40.6042,-73.7627
178,40.6043,-73.938
179,40.6045,-74.1349
180,40.6046,-74.0073
181,40.6047,-73.977
182,40.605,-73.9537
183,40.6053,-73.7805
184,40.6054,-73.7802
185,40.6055,-73.748
186,40.6056,-73.7752
187,40.6058,-74.0004
188,40.6058,-74.0001
189,40.6058,-73.9548
190,40.6059,-73.9859
191,40.6059,-73.9714
192,40.606,-73.9989
193,40.606,-73.774
194,40.6061,-74.144
195,40.6061,-74.0274
196,40.6061,-73.9778
197,40.6063,-73.9903
198,40.6063,-73.9023
199,40.6066,-73.9597
200,40.6066,-73.9528
201,40.6067,-74.0144
202,40.6068,-73.9942
203,40.6068,-73.9406
204,40.6069,-74.0761
205,40.607,-74.1667
206,40.607,-73.9589
207,40.607,-73.7474
208,40.6071,-73.9688
209,40.6072,-74.001
210,40.6073,-74.0028
211,40.6073,-73.955
212,40.6076,-74.0158
213,40.6076,-73.984
214,40.6079,-74.1496
215,40.608,-73.9911
216,40.608,-73.9619
217,40.6081,-74.1157
218,40.6081,-73.9759
219,40.6081,-73.9423
220,40.6082,-74.1329
221,40.6084,-74.0065
222,40.6085,-73.9984
223,40.6085,-73.9483
224,40.6085,-73.7383
225,40.6086,-74.0636
226,40.6087,-73.9678
227,40.6087,-73.9592
228,40.6088,-73.9939
229,40.6088,-73.9579
230,40.6088,-73.9474
231,40.6088,-73.7385
232,40.6089,-74.0907
233,40.609,-74.0236
234,40.609,-73.8975
235,40.6091,-73.9235
236,40.6094,-73.9674
237,40.6095,-73.9335
238,40.6096,-73.9658
239,40.6096,-73.9603
240,40.6097,-74.0078
241,40.6098,-73.9781
242,40.6098,-73.956
243,40.6098,-73.9264
244,40.6099,-73.9231
245,40.61,-74.074
246,40.61,-73.9781
247,40.61,-73.9742
248,40.61,-73.9614
249,40.61,-73.9524
250,40.6101,-73.9859
251,40.6105,-74.1239
252,40.6105,-73.9538
253,40.6108,-74.0113
254,40.6108,-73.7464
255,40.611,-74.0617
256,40.611,-73.9773
257,40.6112,-73.9248
258,40.6113,-73.9549
259,40.6116,-74.01
260,40.6117,-73.9627
261,40.6118,-74.0351
262,40.612,-73.9678
263,40.612,-73.9671
264,40.612,-73.7721
265,40.6121,-74.1695
266,40.6121,-74.0287
267,40.6121,-73.9665
268,40.6122,-74.0093
269,40.6123,-74.034
270,40.6123,-73.9789
271,40.6123,-73.936
272,40.6124,-74.0085
273,40.6124,-73.9791
274,40.6124,-73.9501
275,40.6125,-74.0084
276,40.6125,-73.9647
277,40.6127,-74.0237
278,40.6127,-73.9795
279,40.6127,-73.9738
280,40.6128,-73.9862
281,40.6128,-73.9179
282,40.613,-73.935
283,40.6131,-74.1237
284,40.6131,-74.0017
285,40.6131,-73.9771
286,40.6134,-73.996
287,40.6134,-73.9482
288,40.6134,-73.7208
289,40.6137,-74.0331
290,40.6137,-73.9244
291,40.6137,-73.9094
292,40.6137,-73.7189
293,40.6138,-74.0321
294,40.6139,-73.9611
295,40.614,-74.1644
296,40.6141,-73.9992
297,40.6141,-73.991
298,40.6141,-73.9554
299,40.6141,-73.9361
300,40.6142,-74.036
301,40.6142,-73.9898
302,40.6142,-73.9314
303,40.6142,-73.7346
304,40.6143,-74.0331
305,40.6144,-73.9244
306,40.6146,-74.0316
307,40.6147,-74.032
308,40.6148,-73.9322
309,40.6149,-74.1425
310,40.6149,-73.9202
311,40.615,-73.9461
312,40.615,-73.9144
313,40.6152,-74.0241
314,40.6152,-73.9759
315,40.6154,-73.9722
316,40.6155,-74.004
317,40.6156,-74.0343
318,40.6156,-73.992
319,40.6158,-74.0168
320,40.6158,-73.9693
321,40.6158,-73.9655
322,40.616,-74.0342
323,40.616,-74.0019
324,40.616,-73.9606
325,40.616,-73.9408
326,40.6162,-73.9548
327,40.6163,-74.0366
328,40.6163,-74.0311
329,40.6163,-73.9616
330,40.6164,-74.024
331,40.6164,-73.9861
332,40.6165,-74.0356
333,40.6166,-74.0383
334,40.6166,-74.031
335,40.6166,-73.9787
336,40.6166,-73.7786
337,40.6167,-74.0342
338,40.6167,-74.0091
339,40.6167,-73.9447
340,40.6168,-74.0384
341,40.6168,-74.029
342,40.6168,-73.7239
343,40.6169,-73.9694
344,40.617,-74.0333
345,40.617,-74.0225
346,40.6171,-73.7785
347,40.6172,-74.0307
348,40.6174,-73.9608
349,40.6174,-73.7777
350,40.6174,-73.7775
351,40.6175,-74.0405
352,40.6175,-74.0285
353,40.6175,-73.9812
354,40.6175,-73.957
355,40.6176,-73.9471
356,40.6177,-74.0033
357,40.6178,-74.0363
358,40.6178,-74.0243
359,40.6178,-74.0217
360,40.6179,-74.0334
361,40.6179,-74.0256
362,40.6179,-73.9915
363,40.618,-73.908
364,40.6181,-74.0206
365,40.6181,-74.0204
366,40.6181,-73.9539
367,40.6182,-74.025
368,40.6183,-73.9426
369,40.6183,-73.9414
370,40.6183,-73.9323
371,40.6184,-74.0332
372,40.6185,-74.033
373,40.6185,-74.0303
374,40.6185,-73.956
375,40.6185,-73.8976
376,40.6186,-74.0093
377,40.6187,-74.0396
378,40.6187,-74.0389
379,40.6187,-73.9502
380,40.6187,-73.9289
381,40.6188,-74.0217
382,40.6188,-73.955
383,40.6188,-73.9294
384,40.6189,-74.0066
385,40.619,-74.0221
386,40.619,-73.749
387,40.6191,-74.0316
388,40.6191,-74.0086
389,40.6192,-73.9903
390,40.6192,-73.9901
391,40.6193,-74.089
392,40.6193,-74.0322
393,40.6193,-74.023
394,40.6193,-73.9951
395,40.6193,-73.994
396,40.6193,-73.99
397,40.6193,-73.9203
398,40.6194,-74.0208
399,40.6194,-74.0121
400,40.6194,-73.9688
401,40.6195,-74.039
402,40.6195,-74.0228
403,40.6195,-73.9542
404,40.6196,-74.0326
405,40.6196,-74.0325
406,40.6196,-74.0265
407,40.6196,-74.0168
408,40.6196,-73.968
409,40.6197,-73.9898
410,40.6197,-73.9553
411,40.6198,-74.0404
412,40.6198,-74.0383
413,40.6198,-74.0381
414,40.6198,-74.0347
415,40.6198,-74.0326
416,40.6198,-73.7252
417,40.6199,-74.0186
418,40.62,-74.0295
419,40.62,-74.0149
420,40.6201,-73.9701
421,40.6203,-73.9446
422,40.6204,-74.0242
423,40.6204,-73.941
424,40.6205,-74.133
425,40.6205,-74.0376
426,40.6205,-74.0322
427,40.6206,-74.0242
428,40.6206,-74.0179
429,40.6206,-73.9544
430,40.6206,-73.9045
431,40.6207,-74.0388
432,40.6207,-74.0382
433,40.6207,-73.9428
434,40.6208,-74.024
435,40.6208,-73.9952
436,40.6209,-74.0365
437,40.621,-74.0117
438,40.621,-74.0067
439,40.6212,-74.032
440,40.6212,-74.0314
441,40.6212,-74.0242
442,40.6213,-74.0378
443,40.6213,-73.9953
444,40.6214,-74.0258
445,40.6214,-73.9956
446,40.6214,-73.9863
447,40.6215,-74.026
448,40.6217,-74.0144
449,40.6217,-74.0131
450,40.6217,-73.9991
451,40.6217,-73.9346
452,40.6217,-73.9228
453,40.6218,-74.0337
454,40.6218,-73.7776
455,40.6219,-74.0269
456,40.6219,-74.0224
457,40.6219,-73.9996
458,40.622,-74.0317
459,40.622,-74.0102
460,40.622,-73.9841
461,40.6221,-74.0241
462,40.6221,-73.7285
463,40.6222,-74.0316
464,40.6222,-74.0285
465,40.6222,-73.9621
466,40.6223,-73.7778
467,40.6224,-74.0298
468,40.6224,-74.0186
469,40.6224,-73.9646
470,40.6225,-73.9905
471,40.6225,-73.9648
472,40.6225,-73.9362
473,40.6225,-73.9234
474,40.6226,-74.0314
475,40.6226,-74.028
476,40.6227,-74.0341
477,40.6228,-74.0286
478,40.6228,-73.9384
479,40.6229,-74.0384
480,40.6229,-74.0013
481,40.623,-74.0358
482,40.6231,-74.0223
483,40.6231,-73.9327
484,40.6231,-73.9234
485,40.6232,-74.0301
486,40.6232,-74.03
487,40.6232,-74.0294
488,40.6232,-74.0275
489,40.6232,-74.023
490,40.6232,-74.0
491,40.6232,-73.9771
492,40.6233,-74.0341
493,40.6233,-74.0276
494,40.6233,-74.0047
495,40.6233,-73.9501
496,40.6234,-74.0303
497,40.6236,-73.9808
498,40.6236,-73.9063
499,40.6237,-74.0399
500,40.6237,-73.7775
501,40.6238,-74.0249
502,40.6238,-74.0239
503,40.6238,-74.0221
504,40.6238,-74.0084
505,40.6239,-73.7774
506,40.624,-74.109
507,40.624,-74.0089
508,40.624,-73.7325
509,40.6243,-74.0407
510,40.6244,-74.0278
511,40.6244,-74.0277
512,40.6244,-73.9188
513,40.6245,-73.9512
514,40.6246,-73.9663
515,40.6248,-74.0396
516,40.6249,-74.0274
517,40.6249,-73.9815
518,40.6249,-73.9711
519,40.625,-74.0228
520,40.6252,-73.9617
521,40.6252,-73.9607
522,40.6252,-73.9247
523,40.6253,-74.0249
524,40.6253,-73.9624
525,40.6254,-73.9874
526,40.6254,-73.9624
527,40.6254,-73.9399
528,40.6255,-73.9643
529,40.6256,-73.9331
530,40.6256,-73.9116
531,40.6257,-73.7231
532,40.6258,-73.9711
533,40.6258,-73.9468
534,40.6261,-74.024
535,40.6261,-73.9751
536,40.6261,-73.9732
537,40.6261,-73.9276
538,40.6263,-74.0126
539,40.6263,-73.9497
540,40.6264,-73.951
541,40.6265,-74.0025
542,40.6266,-74.0023
543,40.6266,-73.9711
544,40.6268,-74.0348
545,40.6268,-74.0208
546,40.6268,-73.921
547,40.6269,-73.9685
548,40.6269,-73.968
549,40.6269,-73.9469
550,40.6269,-73.9317
551,40.627,-73.9939
552,40.627,-73.8916
553,40.6271,-74.0355
554,40.6271,-74.014
555,40.6271,-73.9627
556,40.6272,-74.0127
557,40.6272,-73.9417
558,40.6274,-74.0266
559,40.6274,-74.0264
560,40.6274,-74.0192
561,40.6274,-73.9317
562,40.6275,-74.0264
563,40.6275,-73.9201
564,40.6276,-74.0281
565,40.6276,-74.0211
566,40.6276,-73.9934
567,40.6278,-74.0179
568,40.6278,-73.9713
569,40.6279,-74.0391
570,40.628,-74.0262
571,40.628,-73.9519
572,40.6281,-73.9569
573,40.6281,-73.9567
574,40.6282,-73.9727
575,40.6282,-73.9521
576,40.6283,-74.007
577,40.6284,-74.0291
578,40.6285,-73.9699
579,40.6286,-74.0388
580,40.6286,-74.0061
581,40.6286,-73.7692
582,40.6287,-74.0296
583,40.6287,-74.023
584,40.6288,-74.029
585,40.6288,-73.9742
586,40.6289,-74.0289
587,40.629,-74.0251
588,40.6291,-74.019
589,40.6291,-74.0055
590,40.6291,-73.9743
591,40.6292,-74.022
592,40.6292,-74.0101
593,40.6292,-73.987
594,40.6293,-74.0198
595,40.6293,-73.9685
596,40.6293,-73.9467
597,40.6294,-74.029
598,40.6295,-74.2513
599,40.6295,-74.0259
600,40.6295,-73.9949
601,40.6295,-73.9431
602,40.6296,-73.9357
603,40.6298,-73.9633
604,40.6298,-73.9326
605,40.6298,-73.7069
606,40.6298,-73.7017
607,40.6299,-74.0225
608,40.63,-73.9989
609,40.63,-73.9058
610,40.63,-73.7243
611,40.6301,-74.0284
612,40.6302,-74.1058
613,40.6302,-74.0236
614,40.6302,-73.9642
615,40.6302,-73.9446
616,40.6303,-73.9782
617,40.6303,-73.9593
618,40.6304,-73.9652
619,40.6305,-74.027
620,40.6305,-73.731
621,40.6306,-74.0311
622,40.6306,-73.9664
623,40.6307,-74.0247
624,40.6307,-74.0094
625,40.6307,-73.9859
626,40.6307,-73.9774
627,40.6308,-73.9881
628,40.6308,-73.9406
629,40.6309,-73.9913
630,40.6309,-73.9339
631,40.6309,-73.7719
632,40.6309,-73.7154
633,40.631,-74.0219
634,40.631,-73.9714
635,40.6311,-74.026
636,40.6311,-73.9727
637,40.6311,-73.9397
638,40.6312,-74.0279
639,40.6312,-74.019
640,40.6312,-73.7818
641,40.6313,-74.0265
642,40.6314,-73.9772
643,40.6315,-74.019
644,40.6315,-73.9922
645,40.6315,-73.9013
646,40.6315,-73.719
647,40.6316,-74.0191
648,40.6317,-73.979
649,40.6318,-74.0294
650,40.6318,-74.0196
651,40.6318,-73.944
652,40.6319,-74.029
653,40.6319,-74.0199
654,40.632,-73.898
655,40.6321,-73.9646
656,40.6322,-74.0205
